,Address,Latitude,Longitude
264,"['Toronto, Canada']",43.6534817,-79.3839347
265,['India'],22.3511148,78.6677428
266,['Bengaluru'],12.9791198,77.5912997
267,"['Salt Lake City, UT']",40.7596198,-111.8867975
268,['Japan'],36.5748441,139.2394179
269,['CA'],61.0666922,-107.9917071
270,['Nairobi Kenya'],-1.2832533,36.8172449
271,"['Swansea, Wales, United Kingdom']",51.6195955,-3.9459248
272,['India'],22.3511148,78.6677428
273,"['Bangalore, India']",12.9791198,77.5912997
274,"['Portland, Oregon']",45.5202471,-122.6741949
275,['bangalore'],12.9791198,77.5912997
276,"['Seattle, WA']",47.6038321,-122.3300624
277,"['Banglore,India']",18.3903609,78.8087788
278,['Mumbai'],18.9387711,72.8353355
279,['127.0.0.1'],38.7022309,-109.0482215
280,"['Dublin, IRE']",,
281,"['Alexandria, Egypt']",31.199004,29.894378
282,"['Auckland, New Zealand']",-36.852095,174.7631803
283,"['Indore, MP, India']",22.7203616,75.8681996
284,['Toronto'],43.6534817,-79.3839347
285,"['TOKYO-JAPAN, ROK-SEOUL']",,
286,['Auckland'],-36.852095,174.7631803
287,['Porto Alegre/RS'],-30.0324999,-51.2303767
288,['Mumbai'],18.9387711,72.8353355
289,"['Chennai,Tamil Nadu,India']",13.0801721,80.2838331
290,['San Francisco Bay Area'],37.7884969,-122.3558473
291,['Bangalore'],12.9791198,77.5912997
292,"['São Paulo, SP Brasil']",-23.5506507,-46.6333824
293,"['Russia, Armenia']",40.1716945,44.5103028
294,['Chile'],-31.7613365,-71.3187697
295,['Sri Lanka'],7.5554942,80.7137847
296,['Patna'],25.6093239,85.1235252
297,['Berlin'],52.5170365,13.3888599
298,"['San Francisco, CA']",46.8443248,-71.2743272
299,"['Bangalore, India']",12.9791198,77.5912997
300,"['San Francisco, CA']",46.8443248,-71.2743272
301,['UK'],54.7023545,-3.2765753
302,"['New Delhi, India']",28.6138954,77.2090057
303,"['Tehran, Iran ']",35.7006177,51.4013785
304,['London'],51.5073219,-0.1276474
305,['Vancouver'],49.2608724,-123.1139529
306,['Boston'],42.3602534,-71.0582912
307,['dhaka'],23.810651,90.4126466
308,['beijing'],39.9020668,116.718583
309,['Singapore'],1.3408630000000001,103.83039182212079
310,['Hyderabad'],17.38878595,78.46106473453146
311,"['Satara, Maharashtra']",17.63612885,74.29827807601782
312,['India'],22.3511148,78.6677428
313,['Spain'],39.3262345,-4.8380649
314,['Texas'],31.8160381,-99.5120986
315,"['Missoula, MT']",46.8701049,-113.9952672
316,['Shanghai'],31.2322758,121.4692071
317,['Nigeria'],9.6000359,7.9999721
318,"['Edison, New Jersey']",40.5382375,-74.39451734508772
319,"['Charlotte, NC']",35.2272,-80.843083
320,['Bangladesh'],24.4768783,90.2932426
321,['Izmir / Turkey'],38.4147331,27.1434119
322,"['Chittagong,Bangladesh']",22.3307998,91.8412863
323,"['Mountain View, CA']",51.6878246,-114.2502063
324,['Boston'],42.3602534,-71.0582912
325,['India'],22.3511148,78.6677428
326,"['San Francisco, CA']",46.8443248,-71.2743272
327,['Jamshedpur'],22.8015194,86.2029579
328,"['Russia, Saint Petersburg']",59.938732,30.316229
329,"['La Jolla, CA']",32.83259,-117.2716839
330,"['Huntington Beach, CA']",33.6783336,-118.0000166
331,['Mclean'],40.4631789,-88.8196613
332,"['Warsaw, Poland']",52.2319581,21.0067249
333,['fuzhou'],27.9511188,116.3530413
334,['The Internet'],19.37218875,-72.33465445105234
335,['India'],22.3511148,78.6677428
336,['Shanghai'],31.2322758,121.4692071
337,['Krauschwitz'],51.5200517,14.7081947
338,['India'],22.3511148,78.6677428
339,['Bengaluru'],12.9791198,77.5912997
340,['Gurgaon'],28.42826235,77.00270014657752
341,"['Durham, North Carolina']",35.996653,-78.9018053
342,['Montreal'],45.4972159,-73.6103642
343,"['Bangalore, India']",12.9791198,77.5912997
344,"['Montréal, Canada']",45.4972159,-73.6103642
345,"['Jakarta, Indonesia']",-6.1753942,106.827183
346,['Ottawa / Cairo'],40.8296693,-84.0916509
347,"['Leeds, West Riding, UK']",54.0813547,-0.1952885
348,"['Sousse, Tunisia']",35.828829,10.640525
349,['India'],22.3511148,78.6677428
350,['Cotia - São Paulo'],-23.603889,-46.918889
351,['Hyderabad'],17.38878595,78.46106473453146
352,"['Bethpage, NY']",40.7432812,-73.4838143
353,['San Francisco Bay Area'],37.7884969,-122.3558473
354,"['Jahangirnagar University, Dhaka, Bangladesh']",23.882168749999998,90.26735168657802
355,['Bangladesh'],24.4768783,90.2932426
356,['Toronto'],43.6534817,-79.3839347
357,"['chennai,TN,India']",13.0801721,80.2838331
358,"['Chennai, Tamilnadu, India']",13.0801721,80.2838331
359,"['Chittagong,Bangladesh']",22.3307998,91.8412863
360,['Israel'],31.5313113,34.8667654
361,"['Lima, Perú.']",-12.0621065,-77.0365256
362,['São Paulo - Brasil'],-23.5506507,-46.6333824
