Location,Followers,Following,Stars,Contributions
Hyderabad,85,2,76,52
Oakland,309,111,320,466
Shanghai,2900,531,884,646
"New York, NY",409,112,379,1961
Malaysia,17,2,2,114
"Fremont, CA",1800,5,97,586
"Warsaw, Poland",49,3,83,6
Morgantown - WV,25,4,12,0
"Rochester, MN",18,1,0,49
"San Francisco, CA",36300,4,20,29
"San Francisco, CA",1300,21,21,1
beijing,6,1,6,2
San Francisco,35,7,13,0
Malaysia,114,13,27,15
"Bangalore, India",113,77,1400,58
Paris,168,16,61,39
San Francisco,37,0,1,52
Philadelphia,138,2,97,88
New York City,3100,2,29,710
Beijing,183,0,12,93
Germany,179,24,7,169
"Toulouse, France",63,10,7,176
San Francisco Bay Area,6,7,0,0
India,40,1,2,153
"Beijing, China",200,20,35,179
"Chennai, Delhi - India ",34,0,15,327
CN,48,25,173,548
"San Francisco, CA",36300,4,20,29
  Seattle,85,8,157,48
"Palo Alto, CA",357,1,27,3130
"Menlo Park, CA",61,10,0,65
New York,168,0,21,662
"Atlanta, GA",83,24,20,95
Brazil,415,0,1,42
"Beijing, China",2500,34,1000,410
Sydney Australia,3400,0,0,99
"Xian, Shaanxi, China",1100,20,146,13
"Guangzhou, China",1200,1,50,0
Canada,438,1,135,1057
Sweden,482,8,48,12
"Cambridge, MA",1400,72,368,91
"Seoul, South Korea",62,1,61,0
"Cambridge, UK",147,20,120,1
"Washington, DC",558,9,29,569
"Santa Clara, CA, US",57,3,3,3
xi'an,191,61,376,1
Seoul,618,0,45,7
"San Francisco Bay Area, CA",201,25,49,1586
SZ City,25,29,303,354
South Korea,208,13,195,565
Copenhagen,129,30,153,1458
"Tianjin, China",998,40,466,1832
"Beijing, China",597,15,11,0
South Africa,39,10,1,39
"Tampa, FL",16,0,2,22
"Dallas, Texas",81,1,60,400
Philadelphia,138,2,97,88
"New Delhi, India",5600,2,64,637
China,1700,15,2,185
"Hangzhou, China",26,0,14,43
London - UK,351,3,0,39
New York City,3100,2,29,724
"Rochester, NY",1400,651,472,887
"New York, NY",75,2,18,4
"Kuala Lumpur, Malaysia",1000,31,104,634
Los Angeles,58,27,73,102
San Francisco,275,59,33,38
California,44,1,115,7
ChengDu,156,118,821,0
"Sydney, Australia",145,71,743,3270
"Boston, USA",31,4,7,195
Munich,20,0,1,0
Australia,32,21,68,0
"Dnipro, Ukraine",52,0,54,4
Seattle x Singapore,487,51,81,1549
United Kingdom,279,20,56,482
Kraków,816,77,279,454
"San Francisco, CA",29,21,723,81
"Cambridge, UK",609,16,281,0
Da Lian,6,6,112,30
Beijing,8,1,11,71
"Virginia, USA",12,9,12,782
Sri Lanka,12,0,77,145
